G                               1         0.0000000000      0.0000000000      0.0000000000      0.0000000000
M                             101         1.4703319812      0.0000000000      0.5000000000      0.0000000000
K                             159         2.3192276871      0.3333330000      0.3333330000      0.0000000000
G                             274         4.0170191144      0.0000000000      0.0000000000      0.0000000000
